	zeit	Soll Temp	Ist Temp	Heizung	temp erreicht	Pumpe
677505	678	86	77	1	0	0
678269	678	86	77	1	0	0
679035	679	86	77	1	0	0
679800	680	86	77	1	0	0
680566	681	86	77	1	0	0
681331	681	86	77	1	0	0
682097	682	86	77	1	0	0
682862	683	86	77	1	0	0
683628	684	86	77	1	0	0
684393	684	86	77	1	0	0
685159	685	86	77	1	0	0
685924	686	86	77	1	0	0
686690	687	86	77	1	0	0
687455	687	86	77	1	0	0
688221	688	86	77	1	0	0
688986	689	86	77	1	0	0
689752	690	86	77	1	0	0
690516	691	86	77	1	0	0
691281	691	86	77	1	0	0
692047	692	86	77	1	0	0
692812	693	86	77	1	0	0
693578	694	86	77	1	0	0
694343	694	86	77	1	0	0
695109	695	86	77	1	0	0
695874	696	86	77	1	0	0
696640	697	86	77	1	0	0
697405	697	86	77	1	0	0
698171	698	86	77	1	0	0
698936	699	86	77	1	0	0
699702	700	86	77	1	0	0
700467	700	86	77	1	0	0
701233	701	86	77	1	0	0
701998	702	86	77	1	0	0
702764	703	86	77	1	0	0
703528	704	86	77	1	0	0
704294	704	86	77	1	0	0
705059	705	86	77	1	0	0
705825	706	86	77	1	0	0
706590	707	86	77	1	0	0
707356	707	86	77	1	0	0
708121	708	86	77	1	0	0
708887	709	86	77	1	0	0
709652	710	86	77	1	0	0
